# Programme: DCG_YugeStr
sets,reps,weight,type,rpe,intensity
2,10,10.0,AMRAP,8.2,66.25
1,6,12.5,Opt AMRAP EMOM,10.0,69.56
Day,22
Flat Bench
1,12,57.5,Default,7.85,62.46
1,10,60.0,Default,7.34,66.25
1,8,65.0,AMRAP,7.88,70.54
Wrist Extension
1,12,7.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,3.9,55.15
1,10,5.0,Opt AMRAP EMOM,2.2,55.44
Wrist Curl
1,12,7.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,3.9,55.15
1,10,5.0,Opt AMRAP EMOM,2.2,55.44
Kroc Row
1,12,22.5,Default,3.84,58.36
1,10,25.0,Default,4.68,61.98
1,8,27.5,AMRAP,5.42,66.07
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,10,32.5,AMRAP,9.05,65.21
2,12,27.5,AMRAP,5.79,58.36
1,8,27.5,Opt AMRAP EMOM,3.02,59.52
Face Pull
1,12,20.0,AMRAP,10.0,61.47
2,14,15.0,AMRAP,3.9,55.15
1,10,15.0,Opt AMRAP EMOM,2.2,55.44
Day,23
Front Squat
1,12,45.0,Default,5.07,58.36
1,10,47.5,Default,4.89,61.98
1,8,52.5,AMRAP,5.81,66.07
Overhead Press
1,12,35.0,Default,5.99,62.46
1,10,37.5,Default,6.23,66.25
1,8,40.0,AMRAP,6.26,70.54
Archer Pullup
1,10,0.0,AMRAP,NaN,65.21
2,12,0.0,AMRAP,NaN,58.36
1,8,0.0,Opt AMRAP EMOM,NaN,59.52
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Calf Raise, Standing
1,12,12.5,AMRAP,8.02,61.47
2,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,55.44
Finger Curl
1,12,12.5,AMRAP,8.02,61.47
2,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,55.44
Leg Raise
1,10,10.0,AMRAP,10.0,65.21
2,12,5.0,AMRAP,1.35,58.36
1,8,5.0,Opt AMRAP EMOM,0.75,59.52
Day,24
Deadlift
1,12,100.0,Default,7.53,62.46
1,10,107.5,Default,7.95,66.25
1,8,112.5,AMRAP,7.41,70.54
Single Leg Hip Thrust
1,12,5.0,Default,2.98,58.36
1,10,5.0,Default,2.2,61.98
1,8,5.0,AMRAP,1.54,66.07
Side Raise
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
Dips
1,10,8.75,AMRAP,9.8,65.21
2,12,6.25,AMRAP,2.98,58.36
1,8,6.25,Opt AMRAP EMOM,1.54,59.52
Bulgarian Split Squat
1,10,25.0,AMRAP,8.2,65.21
2,12,20.0,AMRAP,3.97,58.36
1,8,20.0,Opt AMRAP EMOM,2.02,59.52
Plate Pinch
1,12,17.5,AMRAP,8.6,61.47
2,14,15.0,AMRAP,5.72,55.15
1,10,15.0,Opt AMRAP EMOM,3.24,55.44
Zottman Curl
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
Parallette Crunch
1,12,10.0,AMRAP,10.0,61.47
2,14,7.5,AMRAP,3.9,55.15
1,10,7.5,Opt AMRAP EMOM,2.2,55.44
Day,25
Rest
Day,26
Close Grip Bench
1,12,52.5,Default,5.29,58.36
1,10,55.0,Default,4.93,61.98
1,8,60.0,AMRAP,5.48,66.07
Wrist Extension
1,12,7.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,3.9,55.15
1,10,5.0,Opt AMRAP EMOM,2.2,55.44
Wrist Curl
1,12,7.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,3.9,55.15
1,10,5.0,Opt AMRAP EMOM,2.2,55.44
Pendlay Row, Cheat
1,12,82.5,Default,7.9,62.46
1,10,87.5,Default,7.9,66.25
1,8,92.5,AMRAP,7.67,70.54
Land Mine Anti-Rotation
1,10,35.0,AMRAP,9.8,65.21
2,12,27.5,AMRAP,4.57,58.36
1,8,27.5,Opt AMRAP EMOM,2.34,59.52
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,10,32.5,AMRAP,9.05,65.21
2,12,27.5,AMRAP,5.79,58.36
1,8,27.5,Opt AMRAP EMOM,3.02,59.52
Face Pull
1,12,20.0,AMRAP,10.0,61.47
2,14,15.0,AMRAP,3.9,55.15
1,10,15.0,Opt AMRAP EMOM,2.2,55.44
Day,27
Low Bar Squat
1,12,70.0,Default,7.2,62.46
1,10,75.0,Default,7.5,66.25
1,8,80.0,AMRAP,7.56,70.54
Dumbell Overhead Press
1,12,27.5,Default,4.57,58.36
1,10,30.0,Default,5.15,61.98
1,8,32.5,AMRAP,5.54,66.07
Pullup
1,10,8.75,AMRAP,9.8,65.21
2,12,6.25,AMRAP,2.98,58.36
1,8,6.25,Opt AMRAP EMOM,1.54,59.52
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Calf Raise, Standing
1,12,12.5,AMRAP,8.02,61.47
2,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,55.44
Finger Curl
1,12,12.5,AMRAP,8.02,61.47
2,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,55.44
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,28
Sumo Deadlift
1,12,80.0,Default,5.45,58.36
1,10,85.0,Default,5.45,61.98
1,8,92.5,AMRAP,6.0,66.07
Hip Thrust
1,12,60.0,Default,6.77,62.46
1,10,65.0,Default,7.4,66.25
1,8,70.0,AMRAP,7.76,70.54
Side Raise
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
DB Incline Bench
1,10,30.0,AMRAP,8.2,65.21
2,12,25.0,AMRAP,4.79,58.36
1,8,25.0,Opt AMRAP EMOM,2.45,59.52
Bulgarian Split Squat
1,10,25.0,AMRAP,8.2,65.21
2,12,20.0,AMRAP,3.97,58.36
1,8,20.0,Opt AMRAP EMOM,2.02,59.52
Plate Pinch
1,12,17.5,AMRAP,8.6,61.47
2,14,15.0,AMRAP,5.72,55.15
1,10,15.0,Opt AMRAP EMOM,3.24,55.44
Zottman Curl
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
Parallette Crunch
1,10,10.0,AMRAP,8.2,65.21
2,12,7.5,AMRAP,2.98,58.36
1,8,7.5,Opt AMRAP EMOM,1.54,59.52
Day,29
Flat Bench
2,8,62.5,Default,6.66,68.33
2,6,67.5,Default,6.95,73.09
1,4,72.5,AMRAP,6.92,78.56
Wrist Extension
